Project ID,Country,FY,Adaptation CCB %,Mitigation CCB %,Total CCB %,Fig_id
P165056,Malawi,FY19,100.0,0.0,100.0,Malawi (FY19)
P161562,Kenya,FY18,92.86,7.14,100.0,Kenya (FY18)
P167941,Madagascar,FY20,100.0,0.0,100.0,Madagascar (FY20)
P148861,Seychelles,FY15,66.4,0.0,66.4,Seychelles (FY15)
P160628,Cabo Verde,FY19,100.0,0.0,100.0,Cabo Verde (FY19)
P168749,Vanuatu,FY20,83.3,0.0,83.3,Vanuatu (FY20)
P176930,Vanuatu,FY22,75.0,0.0,75.0,Vanuatu (FY22)
P170558,Tuvalu,FY20,35.85,7.48,43.33,Tuvalu (FY20)
P165928,Samoa,FY19,35.77,0.0,35.77,Samoa (FY19)
P171764,Samoa,FY21,21.44,0.0,21.44,Samoa (FY21)
P173558,Fiji,FY21,25.0,0.0,25.0,Fiji (FY21)
P172614,Tuvalu,FY22,50.06,0.0,50.06,Tuvalu (FY22)
P172742,Tonga,FY22,25.05,0.0,25.05,Tonga (FY22)
P177125,Philippines,FY22,100.0,0.0,100.0,Philippines (FY22)
P155656,Philippines,FY16,100.0,0.0,100.0,Philippines (FY16)
P125943,Philippines,FY12,100.0,0.0,100.0,Philippines (FY12)
P166303,Romania,FY18,75.0,0.0,75.0,Romania (FY18)
P157489,Serbia,FY17,99.99,0.0,99.99,Serbia (FY17)
P176650,Colombia,FY22,60.71,17.86,78.57,Colombia (FY22)
P126583,Colombia,FY13,100.0,0.0,100.0,Colombia (FY13)
P172567,Honduras,FY20,82.5,0.83,83.33,Honduras (FY20)
P174191,Panama,FY22,87.5,0.0,87.5,Panama (FY22)
P177001,Honduras,FY22,85.0,0.0,85.0,Honduras (FY22)
P159351,Dominican Republic,FY18,100.0,0.0,100.0,Dominican Republic (FY18)
P159710,Guatemala,FY19,91.66,0.0,91.66,Guatemala (FY19)
P122738,Panama,FY12,100.0,0.0,100.0,Panama (FY12)
P122640,El Salvador,FY11,83.5,0.0,83.5,El Salvador (FY11)
P171465,Grenada,FY20,100.0,0.0,100.0,Grenada (FY20)
P177807,Dominica,FY22,76.65,15.0,91.65,Dominica (FY22)
P169956,St. Vincent and the Grenadines,FY20,24.78,1.12,25.9,St. Vincent and the Grenadines (FY20)
P149831,Peru,FY15,20.0,0.0,20.0,Peru (FY15)
P120860,Peru,FY11,0.0,0.0,0.0,Peru (FY11)
P168580,Morocco,FY20,100.0,0.0,100.0,Morocco (FY20)
P173008,Bhutan,FY20,48.99,14.59,63.58,Bhutan (FY20)
P163939,Maldives,FY20,79.3,12.5,91.8,Maldives (FY20)
P147454,Sri Lanka,FY14,100.0,0.0,100.0,Sri Lanka (FY14)
P166788,Nepal,FY20,50.0,12.5,62.5,Nepal (FY20)
P175072,Malawi,FY24,16.75,11.75,28.5,Malawi (FY24)
P179263,Mauritania,FY24,26.25,0.0,26.25,Mauritania (FY24)
P179813,Tonga,FY24,37.0,0.0,37.0,Tonga (FY24)
P500609,Fiji,FY24,16.67,0.0,16.67,Fiji (FY24)
P507912,Tanzania,FY25,42.5,17.5,60.0,Tanzania (FY25)
P179861,Costa Rica,FY23,62.5,0.0,62.5,Costa Rica (FY23)
P176148,Cabo Verde,FY23,23.7,0.0,23.7,Cabo Verde (FY23)
P178122,Dominican Republic,FY23,59.0,1.0,60.0,Dominican Republic (FY23)
P177748,"Gambia, The",FY24,15.0,1.25,16.25,"Gambia, The (FY24)"
P177794,Kiribati,FY24,17.71,1.88,19.59,Kiribati (FY24)
P178676,Solomon Islands,FY24,23.44,7.5,30.94,Solomon Islands (FY24)
P180585,Philippines,FY24,80.0,0.0,80.0,Philippines (FY24)
P180286,Benin,FY24,37.0,0.0,37.0,Benin (FY24)
P179820,Tuvalu,FY24,57.5,0.0,57.5,Tuvalu (FY24)
P181432,St. Lucia,FY25,90.0,0.0,90.0,St. Lucia (FY25)
P507760,St. Vincent and the Grenadines,FY25,80.0,10.0,90.0,St. Vincent and the Grenadines (FY25)
P507916,Barbados,FY25,88.0,2.0,90.0,Barbados (FY25)
P507116,Zambia,FY25,25.78,24.22,50.0,Zambia (FY25)
P502565,Liberia,FY25,23.33,5.56,28.89,Liberia (FY25)
P503960,Sierra Leone,FY25,32.78,11.67,44.45,Sierra Leone (FY25)
P502111,Romania,FY25,64.17,18.33,82.5,Romania (FY25)
P181256,Colombia,FY25,56.43,18.57,75.0,Colombia (FY25)
P507259,Jamaica,FY25,21.43,14.28,35.71,Jamaica (FY25)
P500536,Bhutan,FY25,51.39,17.22,68.61,Bhutan (FY25)
P181344,Nepal,FY25,72.0,0.0,72.0,Nepal (FY25)
P506285,Vanuatu,FY25,22.86,0.0,22.86,Vanuatu (FY25)
P504373,Marshall Islands,FY25,52.0,2.0,54.0,Marshall Islands (FY25)
P509413,El Salvador,FY26,30.0,0.0,30.0,El Salvador (FY26)
P505490,Belize,FY26,74.16,0.84,75.0,Belize (FY26)
P509222,Somalia,FY25,65.0,0.0,65.0,Somalia (FY25)
P510158,Ecuador,FY26,41.5,23.5,65.0,Ecuador (FY26)
P181603,Rwanda,FY26,57.5,6.25,63.75,Rwanda (FY26)
P505784,Guatemala,FY26,51.0,1.0,52.0,Guatemala (FY26)
