"CCG Comments","CMU","FY","Last Stage Reached","Project Assessed","Project ID","Project Name","Vertical","Approval Date","Approval Step","CO Team Lead","Could count for more adaptation","Could count for more mitigation","Country","FY Probability","GP","Lending Instrument","Potential (Y/N)","Practice Manager Name","Region","Requesting Cost Center Code","Responsible Cost Center Code","Responsible Cost Center Name","Team Lead Name","Project compliant with CDRS requirement?","CI: Climate indicator included?","CI: Name of Climate Indicator","CI: Project compliant with CI requirement?","GHG: Applicable to operation","GHG: GHG lifetime","GHG: Gross Emissions  (tCO2e, lifetime)","GHG: Net Emissions (annual average, tCO2e/year)","GHG: Net Emissions (economic lifetime, tCO2e)","GHG: Status of data","% (Climate Co-Benefits Over Total IDA/IBRD Commitment)","Net IDA/IBRD Adaptation ($M)","Net IDA/IBRD Mitigation ($M)","Total IDA/IBRD Climate Co-Benefits ($M)","% (IBRD Climate Co-Benefits Over Total IBRD Commitment)","% (IDA Climate Co-Benefits Over Total IDA Commitment)","Net IBRD Adaptation ($M)","IBRD Climate Co-Benefits ($M)","Net IBRD Mitigation ($M)","Net IDA Adaptation ($M)","IDA Climate Co-Benefits ($M)","Net IDA Mitigation ($M)","IBRD Commitment ($M)","IDA Commitment ($M)","Total IDA/IBRD Commitment ($M)","Gross IDA/IBRD Adaptation ($M)","Gross IDA/IBRD Mitigation ($M)","Dual Benefit Finance ($M)"
NA,"AECC2-AFE","FY22","Bank Approved","Assessed","P176396","Burundi Digital Foundations Project","Digital","2022-06-22","A","000503696 | Aneliya Muller ~ 000170408 | Robert Yungu",0,0,"Burundi","Firm","Digital Development","IPF","No","Mehnaz S. Safavian","AFE","AECC2","DAEDU","Digital - AFR EAST/SOUTH","Aneliya Muller","Yes","Yes","Adoption of new gender-inclusive and climate-smart broadband policy and strategy that will strengthen competition (Yes/No)","N/A",NA,NA,NA,NA,NA,NA,"13.260",4.57,2.06,6.63,"  NA","13.260",0,0,0,4.57,6.63,2.06,0,50,50,NA,NA,NA
NA,"AECC2-AFE","FY22","Bank Approved","Assessed","P177158","Digital Sao Tome and Principe","Digital","2022-06-15","A","000581933 | Paul Seaden ~ 000458038 | Daniel Nogueira-Budny",0,0,"Sao Tome and Principe","Firm","Digital Development","IPF","No","Mehnaz S. Safavian","AFE","AECC2","DAEDU","Digital - AFR EAST/SOUTH","Paul Seaden","Yes","Yes","Up to date digitized map of STP housing stock crossed with climate hazards (Yes/No)","N/A",NA,NA,NA,NA,NA,NA,"6.524",1.37,0,1.37,"  NA","6.524",0,0,0,1.37,1.37,0,0,21,21,NA,NA,NA
NA,"AECC2-AFE","FY20","Bank Approved","Assessed","P164435","Solar Energy in Local Communities","Infrastructure","2020-02-28","A","000586347 | David Majambere ~ 000481533 | Juliette Besnard",0,0,"Burundi","Firm","Energy and Extractives","Investment","No","Yadviga Viktorivna Semikolenova","AFE","AECC2","IAEE3","Infrastructure - AFE Energy 3","David Majambere","Yes",NA,NA,NA,"Y","24.99989683","502,967","-116,317","-2,907,913","GHG data finalized","89.840",0,89.84,89.84,"  NA","89.840",0,0,0,0,89.84,89.84,0,100,100,NA,NA,NA
NA,"AECC2-AFE","FY20","Bank Approved","Assessed","P169196","Power Sector Recovery Project Additional Financing","Infrastructure","2020-04-06","A","000466156 | Nicolas Jean Marie Sans ~ 000467222 | Nash Fiifi Eyison",0,0,"Sao Tome and Principe","Firm","Energy and Extractives","Investment","No","Yadviga Viktorivna Semikolenova","AFE","AECC2","IAEE3","Infrastructure - AFE Energy 3","Nicolas Jean Marie Sans","Yes",NA,NA,NA,"Y","19.99646937","0","-9,630","-192,566","GHG data finalized","100.000",0.5,11.5,12,"  NA","100.000",0,0,0,0.5,12,11.5,0,12,12,NA,NA,NA
NA,"AECC2-AFE","FY19","Bank Approved","Assessed","P161842","Sao Tome e Principe Transport Sector Development and Coastal Protection Project","Infrastructure","2019-03-22","A","000514293 | Juan Miguel Velasquez ~ 000272297 | Mustapha Benmaamar",0,0,"Sao Tome and Principe","Firm","Transport","Investment","No","Binyam Reja","AFE","AECC2","IAET1","Infrastructure - AFE Transport","Juan Miguel Velasquez","Yes",NA,NA,NA,"Y","19.99657534","132,290","-292","-5,839","GHG data finalized","95.655",21.12,6.62,27.74,"  NA","95.655",0,0,0,21.12,27.74,6.62,0,29,29,NA,NA,NA
NA,"AECC2-AFE","FY17","Bank Approved","Assessed","P156208","Electricity Access & Services Expansion","Infrastructure","2017-05-04","A","000499517 | Jean-Pierre Lungenyi Ntombolo ~ 000541669 | Didier Makoso Tsasa",0,0,"Congo, Democratic Republic of","Firm","Energy and Extractives","Investment","No","Yadviga Viktorivna Semikolenova","AFE","AECC2","IAEE3","Infrastructure - AFE Energy 3","Jean-Pierre Lungenyi Ntombolo","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"46.758",0,67.799,67.799,"  NA","46.758",0,0,0,0,67.799,67.799,0,145,145,NA,NA,NA
NA,"AECC2-AFE","FY17","Bank Approved","Assessed","P157096","STP Power Sector Recovery Project","Infrastructure","2016-07-05","A","000434673 | Samuel Oguah ~ 000590156 | Leonardo Kilele Tshama",0,0,"Sao Tome and Principe","Firm","Energy and Extractives","Investment","No","Yadviga Viktorivna Semikolenova","AFE","AECC2","IAEE3","Infrastructure - AFE Energy 3","Samuel Oguah","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"66.088",0,10.574,10.574,"  NA","66.088",0,0,0,0,10.574,10.574,0,16,16,NA,NA,NA
NA,"AECC2-AFE","FY16","","Assessed","P153836","DRC High Prirority Roads Reopening and Maintenance - 2nd Add","Infrastructure","2016-02-18","A","000111585 | Alexandre K. Dossou ~",0,0,"Congo, Democratic Republic of","","Transport and Digital Development","Investment","No","Binyam Reja","AFR","AECC2","IAET1","Infrastructure - AFE Transport","Alexandre K. Dossou","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,125,125,NA,NA,NA
NA,"AECC2-AFE","FY15","","Assessed","P150929","BI-Infrastructure Resilience Emergency","Infrastructure",NA,"A","000341970 | Papa Mamadou Fall ~",0,0,"Burundi","","Transport and Digital Development","Investment","No","Binyam Reja","AFR","AECC2","IAET1","Infrastructure - AFE Transport","Papa Mamadou Fall","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.000",25,0,25,"  NA","100.000",0,0,0,25,25,0,0,25,25,NA,NA,NA
NA,"AECC2-AFE","FY15","","Assessed","P153085","DRC-Goma Airport Project","Infrastructure",NA,"A","000330440 | Tojoarofenitra Ramanankirahina ~ 000412616 | Bertram Boie",0,0,"Congo, Democratic Republic of","","Transport and Digital Development","Investment","No","Binyam Reja","AFR","AECC2","IAET1","Infrastructure - AFE Transport","Tojoarofenitra Ramanankirahina","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,52,52,NA,NA,NA
NA,"AECC2-AFE","FY14","","Assessed","P131027","ZR-Inga 3 and Mid-Size Hydro Dev. TA","Infrastructure",NA,"A","000448024 | Alexis Madelain ~",0,0,"Congo, Democratic Republic of","","Energy and Extractives","Investment","No","Yadviga Viktorivna Semikolenova","AFR","AECC2","IAEE3","Infrastructure - AFE Energy 3","Alexis Madelain","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.000",0,73.1,73.1,"  NA","100.000",0,0,0,0,73.1,73.1,0,73.1,73.1,NA,NA,NA
NA,"AECC2-AFE","FY14","","Assessed","P133610","BI-Jiji and Mulembwe Hydropower","Infrastructure",NA,"A","000481533 | Juliette Besnard ~ 000586347 | David Majambere",0,0,"Burundi","","Energy and Extractives","Investment","No","Yadviga Viktorivna Semikolenova","AFR","AECC2","IAEE3","Infrastructure - AFE Energy 3","Juliette Besnard","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.000",0,100,100,"  NA","100.000",0,0,0,0,100,100,0,100,100,NA,NA,NA
NA,"AECC2-AFE","FY13","","Assessed","P129594","DRC-Multi-Modal Transp Additional Fin","Infrastructure",NA,"A","000012663 | Jean-Charles Crochet ~",0,0,"Congo, Democratic Republic of","","Transport and Digital Development","Investment","No","Binyam Reja","AFR","AECC2","IAET1","Infrastructure - AFE Transport","Jean-Charles Crochet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,180,180,NA,NA,NA
NA,"AECC2-AFE","FY11","","Assessed","P106982","DRC-Growth w/ Gov in Mineral Sector","Infrastructure",NA,"A","000419057 | Kirsten Lori Hund ~ 000326954 | Remi Pelon ~ 000432193 | Rachel Bernice Perks ~",0,0,"Congo, Democratic Republic of","","Energy and Extractives","Investment","No","Robert Schlotterer","AFR","AECC2","IEEXI","Infra - Energy Extractive Inds","Kirsten Lori Hund",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,50,50,NA,NA,NA
NA,"AECC2-AFE","FY11","","Assessed","P120709","DRC Pro-Routes - Additional Financing","Infrastructure",NA,"A","000111585 | Alexandre K. Dossou ~",0,0,"Congo, Democratic Republic of","","Transport and Digital Development","Investment","No","Binyam Reja","AFR","AECC2","IAET1","Infrastructure - AFE Transport","Alexandre K. Dossou",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000",0,0,0,"  NA","0.000",0,0,0,0,0,0,0,63.3,63.3,NA,NA,NA
