Project ID,Country,FY,Adaptation CCB %,Mitigation CCB %,Total CCB %,Fig_id
P165056,Malawi,FY19,100.0,0.0,100.0,Malawi (FY19)
P161562,Kenya,FY18,92.86,7.13999999999995,99.99999999999994,Kenya (FY18)
P167941,Madagascar,FY20,100.0,0.0,100.0,Madagascar (FY20)
P148861,Seychelles,FY15,66.39999999999985,0.0,66.39999999999985,Seychelles (FY15)
P160628,Cabo Verde,FY19,100.0,0.0,100.0,Cabo Verde (FY19)
P168749,Vanuatu,FY20,83.3,0.0,83.3,Vanuatu (FY20)
P176930,Vanuatu,FY22,75.0,0.0,75.0,Vanuatu (FY22)
P170558,Tuvalu,FY20,35.851851851851784,7.481481481481482,43.333333333333265,Tuvalu (FY20)
P165928,Samoa,FY19,35.76642335766424,0.0,35.76642335766424,Samoa (FY19)
P171764,Samoa,FY21,21.44,0.0,21.44,Samoa (FY21)
P173558,Fiji,FY21,25.0,0.0,25.0,Fiji (FY21)
P172614,Tuvalu,FY22,50.05714285714279,0.0,50.05714285714279,Tuvalu (FY22)
P172742,Tonga,FY22,25.052631578947313,0.0,25.052631578947313,Tonga (FY22)
P177125,Philippines,FY22,100.0,0.0,100.0,Philippines (FY22)
P155656,Philippines,FY16,100.0,0.0,100.0,Philippines (FY16)
P125943,Philippines,FY12,100.0,0.0,100.0,Philippines (FY12)
P166303,Romania,FY18,75.00101407536609,0.0,75.00101407536609,Romania (FY18)
P157489,Serbia,FY17,99.98571428571412,0.0,99.98571428571412,Serbia (FY17)
P176650,Colombia,FY22,60.713333333333,17.856666666666666,78.56999999999967,Colombia (FY22)
P126583,Colombia,FY13,100.0,0.0,100.0,Colombia (FY13)
P172567,Honduras,FY20,82.49579831932773,0.8319327731092429,83.32773109243698,Honduras (FY20)
P174191,Panama,FY22,87.5,0.0,87.5,Panama (FY22)
P177001,Honduras,FY22,85.0,0.0,85.0,Honduras (FY22)
P159351,Dominican Republic,FY18,100.0,0.0,100.0,Dominican Republic (FY18)
P159710,Guatemala,FY19,91.65999999999948,0.0,91.65999999999948,Guatemala (FY19)
P122738,Panama,FY12,100.0,0.0,100.0,Panama (FY12)
P122640,El Salvador,FY11,83.5,0.0,83.5,El Salvador (FY11)
P171465,Grenada,FY20,100.0,0.0,100.0,Grenada (FY20)
P177807,Dominica,FY22,76.65,15.0,91.65,Dominica (FY22)
P169956,St. Vincent and the Grenadines,FY20,24.775,1.125,25.9,St. Vincent and the Grenadines (FY20)
P149831,Peru,FY15,20.0,0.0,20.0,Peru (FY15)
P120860,Peru,FY11,0.0,0.0,0.0,Peru (FY11)
