P#,ISO3,Country,PDO,Description,Fiscal Year,Generation,Status,ICR,Activation for COVID,Region,SIDS,Global Practice,Cofinancing (Y / N),Approval Date,Closing Date,Renewal (times),Standalone/Mixed,Source,Adaptation CCB %,Mitigation CCB %,Total CCB %,Outcomes,Risk to Development Outcome,Bank Performance,Borrower Performance,Relevance of Prior Actions,Achievement of Objectives,Quality at Entry (Bank),Quality of Supervision (Bank),Commitment (All = DPO + Cat DDO),Commitment (Cat DDO only),Cat DDO Comm - IBRD,Cat DDO Comm - IDA,Allocation To Respond to COVID-19 AMT,FY09 Cat DDO Disb.,FY10 Cat DDO Disb.,FY11 Cat DDO Disb.,FY12 Cat DDO Disb.,FY13 Cat DDO Disb.,FY14 Cat DDO Disb.,FY15 Cat DDO Disb.,FY16 Cat DDO Disb.,FY17 Cat DDO Disb.,FY18 Cat DDO Disb.,FY19 Cat DDO Disb.,FY20 Cat DDO Disb.,FY21 Cat DDO Disb.,FY22 Cat DDO Disb.,FY23 Cat DDO Disb.,FY24 Cat DDO Disb.,FY25 Cat DDO Disb.,FY26 Cat DDO Disb.,FY27 Cat DDO Disb.,FY28 Cat DDO Disb.,FY29 Cat DDO Disb.,FY30 Cat DDO Disb.,Disbursements - Cat DDO Cum.,Disbursements - Cat DDO Cum. (IBRD),Disbursements - Cat DDO Cum. (IDA),CAT DDO Undisbursed,CAT DDO Undisbursed (IBRD),CAT DDO Undisbursed (IDA),% Undisbursed,Gender Tagged,Note,Trigger from Loan/Financing Agreements,Additional Information from Minutes & Program Document,Health Related emergencies mentioned in the Trigger,Disasters that have triggered the Cat DDO,Link to Financing or Loan Agreement
P113084,COL,Colombia,To strengthen the Government's program for reducing risks resulting from adverse natural events.,Disaster Risk Management DPL w/Catastrophe Deferred Draw Down Option,FY09,1,Closed,Yes,No,LCR,No,"Urban, Resilience and Land",N,18/12/2008,31/01/2012,0,Standalone,IBRD,,,,Satisfactory,Low or Negligible,Satisfactory,Satisfactory,,,Satisfactory,Satisfactory,150000000,150000000,150000000,-,-,-,150000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150000000,150000000,-,-,-,-,0%,,,"No withdrawal shall be made of the Tranche unless the Bank is satisfied, based on evidence satisfactory to it, that a state of national emergency exists in the Borrower's territory as a result of a natural disaster which has been declared by the Borrower's presidential decree in accordance with the Borrower's legislation.","Funds may be drawn down upon occurrence of a natural disaster resulting in a declaration by decree of a state of national disaster by the president of Colombia, in accordance with Law Decree (Decreto Ley) No. 919 of 1989, or as may be amended by the Borrower at the time of disbursement.8 Since the law was passed in 1989 there have been nine declarations of emergency: five for municipal emergencies, three for departmental emergencies, and one for a national emergency. The disbursement for this operation would be triggered only by a declaration of a national disaster.",No,Floods,
P111926,CRI,Costa Rica,To enhance the government’s capacity to implement its disaster risk management program for natural disasters.,Costa Rica Catastrophe Deferred Draw Down Option (CAT DDO),FY09,1,Closed,Yes,No,LCR,No,"Urban, Resilience and Land",N,16/09/2008,30/10/2017,2,Standalone,IBRD,,,,Highly Satisfactory,Moderate,Satisfactory,Highly Satisfactory,,,Highly Satisfactory,Satisfactory,65000000,65000000,65000000,-,-,-,24058000,1260000,8665000,-,-,-,-,-,31017000,-,-,-,-,-,-,-,-,-,-,-,-,65000000,65000000,-,-,-,-,0%,,,"No withdrawal shall be made of the Tranche unless the Bank is satisfied, based on evidence satisfactory to it, that a state of emergency exists in the Borrower’s territory as a result of a Natural Disaster.","Drawdown Triggers. Funds may be drawn down upon occurrence of a natural disaster resulting in a declaration of a state of emergency by the President o f Costa Rica through an Executive Decree, in accordance with Law No. 8488 of January 1 1,2006.",,Earthquake,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/301191468025502410
P112544,GTM,Guatemala,To enhance the Government's capacity to implement its disaster risk management program for natural disasters.,Catastrophe Development Policy Loan Deferred Draw Down Option (DDO),FY09,1,Closed,Yes,No,LCR,No,"Urban, Resilience and Land",N,14/04/2009,31/08/2012,0,Standalone,IBRD,,,,Moderately Satisfactory,Low or Negligible,Moderately Satisfactory,Moderately Satisfactory,,,Moderately Satisfactory,Moderately Unsatisfactory,85000000,85000000,85000000,-,-,-,84787500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84787500,84787500,-,212500,212500,-,0%,,,"No withdrawal shall be made of the Tranche unless the Bank is satisfied, based on evidence satisfactory to it, that a national and/or Regional state of emergency (estado de calamidad publica) exists in the Borrower’s territory as a result of a natural disaster which has been declared by a Borrower’s presidential decree and ratified by the Borrower’s Congress in accordance with the Borrower’s legislation.","Drawdown Triggers. Funds may be drawn upon the declaration of a national and/ or regional state of emergency’ (Estudo de Culumidud Pziblicu), by Presidential Decree, under the Public Order Law 7, Article 14. The National Congress must ratify the declaration of the state of emergency.",,"Tropical Storm, Volcanic eruption",https://documents.worldbank.org/en/publication/documents-reports/documentdetail/776931468030610677
P120860,PER,Peru,The development objective of the proposed operation is to strengthen the Government’s capacity to mobilize resources in the case of disaster and to promote risk reduction.,Catastrophe Development Policy Loan DDO,FY11,1,Closed,Yes,No,LCR,No,"Urban, Resilience and Land",N,09/12/2010,09/12/2019,2,Standalone,IBRD,0,0,0,Satisfactory,,Satisfactory,,Satisfactory,Satisfactory,,,100000000,100000000,100000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100000000,100000000,-,100%,,,"No withdrawal shall be made of the Tranche unless the Bank is satisfied, based on evidence satisfactory to it, that a national State of Emergency (Estado de Emergencia) exists in the Borrower’s territory as a result of a natural disaster which has been declared by the Borrower, through a Decreto Supremo (Presidential Decree), all in accordance with the Borrower’s legislation.","Drawdown Triggers. Funds may be withdrawn upon the declaration of a State of Emergency10 (Estado de Emergencia) by a Presidential Decree (see Annex 3 for more details). Taking into account that the law (PD No. 069-2005-PCM) enables the use of this declaration in a catastrophic disaster, it has been agreed between the Government and the Bank that the declaration is a valid drawdown trigger for the DPL with a CATDDO. A disaster is defined as one that is generated by phenomena that are either natural/geological (e.g., earthquakes, tsunamis, volcanoes, landslides, etc.) and/or hydro-meteorological (e.g., floods, hurricanes, El Niño/La Niña, storms, surges, etc.).",,Floods and Landslides,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/492921468286286113
P122640,SLV,El Salvador,To enhance the Government of El Salvador's capacity to implement its Disaster Risk Management Program for natural disasters.,Disaster Risk Management Development Policy Loan with a CAT DDO,FY11,1,Closed,Yes,No,LCR,No,"Urban, Resilience and Land",N,01/02/2011,31/08/2014,0,Standalone,IBRD,83.5,0,83.5,Satisfactory,Low or Negligible,Moderately Satisfactory,Satisfactory,,,Moderately Satisfactory,Moderately Unsatisfactory,50000000,50000000,50000000,-,-,-,-,49750000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49750000,49750000,-,250000,250000,-,1%,,,"No withdrawal shall be made of the Single Withdrawal Tranche unless the Bank is satisfied, based on evidence satisfactory to it, that a state of emergency (estado de emergencia) exists in the Borrower’s territory, or in a portion thereof, as a result of a natural disaster, which has been declared by the Borrower’s National Assembly, upon request by the Borrower’s President, or directly by the Borrower’s President, through a Executive Decree, if the National Assembly is not in session, in accordance with the Borrower’s legislation.","Funds may be drawn upon the declaration of a State of Emergency (Estado de Emergencia) by Legislative or Presidential Decree (the latter is prescribed by law in case the Legislative Assembly is not in session). As indicated before, the National Commission is responsible, among other duties, for proposing to the President of El Salvador the declaration of a State of Emergency to protect the life and assets of the affected population, ensuring at the same time public safety and immediate response with the support of civil and military authorities, firefighters and humanitarian organizations. Such a declaration is a valid drawdown trigger for the DPL with a CAT DDO as long as it is the result of a natural event. According to the Salvadorian law, this is the result of an eminent disaster risk or a dangerous situation generated by a disaster that may affect people, their assets, public services, or ecosystems.",,precipitation levels from a tropical depression,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/243981468273294964
P122738,PAN,Panama,To enhance the GoP’s capacity to implement its Disaster Risk Management Program for natural disasters.,Disaster Risk Management Development Policy Loan with a CAT DDO,FY12,1,Closed,Yes,Yes,LCR,No,"Urban, Resilience and Land",N,18/10/2011,30/06/2021,3,Standalone,IBRD,100,0,100,Satisfactory,,Satisfactory,,Satisfactory,Satisfactory,,,66000000,66000000,66000000,-,41000000,-,-,-,-,-,-,-,25000000,-,-,-,41000000,-,-,-,-,-,-,-,-,-,-,66000000,66000000,-,-,-,-,0%,,,"No withdrawal shall be made of the Single Withdrawal Tranche unless the Bank is satisfied, based on evidence satisfactory to it, that a State of Emergency (Estado de Emergencia) exists in the Borrower’s territory as a result of a natural disaster which has been declared by the Borrower, through an Executive Decree (Decreto Ejecutivo), all in accordance with the Borrower’s legislation.","Funds may be drawn upon the declaration of a state of emergency (estado de emergencia) in the Borrower’s territory, as a result of a natural disaster, under terms and conditions specified in the Loan Agreement. The Government of Panama has requested not to include Pandemics in the definition of the State of Emergency. Change during the restructuring: Under the restructuring, the loan agreement would be amended to deem public health-related events such as pandemics of this nature emergencies eligible to trigger disbursement.",Yes,"Drought, COVID-19",https://documents.worldbank.org/en/publication/documents-reports/documentdetail/188231468287746708
P125943,PHL,Philippines,To enhance the capacity of the Government of the Philippines to manage the impacts of natural disasters.,Disaster Risk Management Development Loan with a CAT DDO,FY12,1,Closed,Yes,No,EAP,No,"Urban, Resilience and Land",N,13/09/2011,31/10/2014,0,Standalone,IBRD,100,0,100,Satisfactory,Moderate,Satisfactory,Satisfactory,,,Satisfactory,Satisfactory,500000000,500000000,500000000,-,-,-,-,-,497500000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,497500000,497500000,-,2500000,2500000,-,1%,,,No withdrawal shall be made of the Single Withdrawal Tranche unless a State of Calamity exists in the Borrower’s territory as a result of a natural disaster which has been declared by the Borrower’s President through a Proclamation of Calamity duly published in the Official Gazette in accordance with the Borrower’s legislation.,"Drawdown Triggers. Funds may be drawn upon the declaration of a State of Calamity by the President. The Proclamation of Calamity should be in accordance with the DRRM Act, and should also be duly published in the Official Gazette. The guidelines prescribe that the declaration remains effective for a period of one year; this timeframe may be extended or shortened by the President, as necessary.",,"Tropical Storm, Volcanic eruption",https://documents.worldbank.org/en/publication/documents-reports/documentdetail/275701468285630446
P126583,COL,Colombia,To strengthen the Government's program for reducing risks resulting from adverse natural events.,Second Disaster Risk Management DPL with Catastrophe Deferred Draw Down Option,FY13,2,Closed,Yes,Yes,LCR,No,"Urban, Resilience and Land",N,10/07/2012,10/07/2021,2,Standalone,IBRD,100,0,100,Moderately Satisfactory,,Moderately Satisfactory,,Highly Satisfactory,Moderately Satisfactory,,,250000000,250000000,250000000,-,250000000,-,-,-,-,-,-,-,-,-,-,-,250000000,-,-,-,-,-,-,-,-,-,-,250000000,250000000,-,-,-,-,0%,,,"No withdrawal shall be made of the Single Withdrawal Tranche unless the Bank is satisfied, based on evidence satisfactory to it, that a State of National Disaster exists in the Borrower's territory as a result of a natural disaster.","Drawdown Trigger. Funds may be drawn down by the GoC upon occurrence of a disaster triggered by a natural event, but specifically excluding disasters triggered by anthropogenic causes, resulting in a declaration by decree of a national situation of disaster by the President of Colombia, in accordance with Article 56 of Law 1523 of 2012, or as may be amended by the Borrower.17 Since 1989, there have been eleven declarations of disaster (under the Law 919 of 198918): five at the municipal level, four at the departmental level, but only two for a national disaster, as illustrated in Table 6. The disbursement for this operation would be triggered only by a declaration of a national situation of disaster19. Note that these are the same criteria as for the first DPL with a CAT DDO, which was approved by the Board on December 18, 2008. Article 55 establishes that for the effect of the present law, a disaster is the result that triggered the manifestation of one or more natural or unintentional anthropogenic events, that in finding conditions of vulnerability in persons, property, infrastructure, livelihoods, service provision, or environmental resources, cause damages or losses of life, materials, economic or environmental assets, generating an intense, severe and extended disturbance, in the normal functioning of society, which requires the intervention of the State and the National System to implement actions of response, rehabilitation and reconstruction.",Health emergencies are not specified,COVID-19,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/856351468025750433
P147454,LKA,Sri Lanka,To enhance the capacity of the Government of Sri Lanka (GoSL) to be more resilient to the impacts of natural disasters.,Catastrophe Deferred Drawdown Option (DPL with DDO),FY14,1,Closed,Yes,No,SAR,No,"Urban, Resilience and Land",N,22/04/2014,31/05/2017,0,Standalone,IBRD,100,0,100,Moderately Satisfactory,Moderate,Moderately Satisfactory,Moderately Satisfactory,,,Satisfactory,Moderately Unsatisfactory,102000000,102000000,102000000,-,-,-,-,-,-,-,-,-,-,101490000,-,-,-,-,-,-,-,-,-,-,-,-,-,101490000,101490000,-,510000,510000,-,1%,,,"No withdrawal shall be made of the Tranche unless the Bank is satisfied, based on evidence satisfactory to it, that a state of emergency exists in the Borrower's territory as a result of a natural disaster, and which has been declared by the Borrower through a Proclamation of the President, in accordance with the provisions of the Disaster Management Act.","Funds may be drawn upon declaration of a state of emergency in the Borrower’s territory, as a result of a natural disaster, under terms and conditions specified in the Financing Agreement. Under this DPL, to draw down funds the President must declare a State of Disaster, in accordance with provisions of the DM Act. After the President makes a declaration of emergency, the MDM and NCDM will coordinate with the Ministry of Finance to make a decision on triggering the drawdown.",,Floods and Landslides,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/431661468335398275
P148861,SYC,Seychelles,To strengthen the Government of Seychelles Disaster Risk Management policy and reform agenda and enhance its capacity to efficiently respond to disasters.,Disaster Risk Management Development Policy Loan with CAT DDO,FY15,1,Closed,Yes,Yes,AFE,Yes,"Urban, Resilience and Land",N,26/09/2014,30/09/2020,1,Standalone,IBRD,66.4,0,66.4,Satisfactory,,Satisfactory,,Satisfactory,Satisfactory,,,7000000,7000000,7000000,-,7000000,-,-,-,-,-,-,-,-,-,-,-,6965000,-,-,-,-,-,-,-,-,-,-,6965000,6965000,-,35000,35000,-,1%,,,"No withdrawal shall be made of the Tranche unless the Bank is satisfied, based on evidence satisfactory to it, that a state of emergency exists in the Borrower's territory as a result of a natural disaster.","Funds may be drawn upon the declaration of a state of emergency as established by the Constitution of 1993. According to Seychelles legislation, a state of emergency can be invoked in the event of an eminent natural or man-made disaster. The drawdown trigger for the DPL with Cat DDO is limited to declaration of a state of emergency resulting from a natural disaster.",,"Floods, COVID-19",https://documents.worldbank.org/en/publication/documents-reports/documentdetail/800601468305081068
