P#,Country,DRM Pillar,Prior Action,Result Indicator
P111926,Costa Rica,DRM policies and institutions,The Borrower has adopted the National Emergencies and Risk Prevention Law and the Executive Decree No. 34361 setting forth regulations to said National Emergencies and Risk Prevention Law.,"Strengthened regulatory and institutional framework for DRM through an enhanced capacity of CNE to coordinate and incentivize DRM activities.
Implementation of five selected strategic goals of the national DRM Plan 2010–2015."
P111926,Costa Rica,Mainstreaming DRM into national development plans,"The Borrower, through MIDEPLAN, has incorporated its Disaster Risk Management in the Borrower’s 2006-2010 National Development Plan.","Key line ministries annual programs include risk analysis and risk reduction initiatives.
Mainstream DRM in planning programs at the sub-national level."
P111926,Costa Rica,Public investment at the central level,The Borrower has incorporated risk management considerations as part of the screening process of MIDEPLAN national investment projects.,"An increased proportion of projects approved by MIDEPLAN integrate DRM considerations.
Increased capacity for incorporating disaster risk analysis in the public investment process."
P111926,Costa Rica,Disaster Risk Financing strategies and instruments,"The Borrower, through CNE, has complied with the provisions of Article 46 of the National Emergencies and Risk Prevention Law, through the collection, administration and transfer to the National Emergency Fund of an amount equivalent to 3% of the financial surplus or profit earned by all governmental institutions referred to in said Article 46 during the periods of January 1, 2007 to December 30, 2007 and January 1, 2008 to August 4, 2008, to support the National Risk Management System.","Well-funded and functional Fondo Nacional de Emergencias as part of the Disaster Risk Management Program. 
Design of a financial strategy for Disaster Risk Management."
P112544,Guatemala,Risk Identification,"INSIVUMEH has started a program for strengthening volcanological, meteorological, and seismic monitoring networks designed and National budget of US$ 10 million for 2009 secured.","Expansion of meteorological, hydrometric and seismic monitoring network from the February 2009 level of monitoring stations to 56% in meteorological, 56% in hydrometric and 29% in seismic networks."
P112544,Guatemala,Risk Identification,"Program for analysis of vulnerability of critical public buildings (schools, hospitals, administrative buildings, fire stations) in place.","20 public buildings with vulnerability analysis. 
Mapping of risk in 10 municipalities."
P112544,Guatemala,Sector-specific risk reduction measures,National Council for Reduction of Disasters has approved a National Program for Disaster Reduction and Prevention through an interinstitutional participatory process.,SEGEPLAN and SE-CONRED have produced 3 annual reports on the progression the implementation of the National Program for Disaster Reduction and Prevention.
P112544,Guatemala,Territorial and urban planning,SEGEPLAN has published and started dissemination/training programs on a methodology for inclusion of risk evaluations in territorial planning.,"SEGEPLAN will have developed the instruments, applying the methodology, for the inclusion of disaster risk management in investments. 
15% of urban areas have incorporated disaster risk management in their territorial planning."
P112544,Guatemala,Sector-specific risk reduction measures,SECONRED’s program for school rehabilitation / retrofitting that takes adequate risk assessment into account in place.,Investment in building and rebuilding 60 schools according to seismic standards and based on risk assessments validated by SECONRED.
P112544,Guatemala,Sector-specific risk reduction measures,Regulation for the Law of CONRED which specifies that all public buildings must be constructed in accordance with seismic building standards has been approved by the relevant authorities and been forwarded to the President of Guatemala.,"Construction plans for new public building meet seismic standards.
Minister of Finance has developed an indicator to track budget appropriation for disaster risk management."
P112544,Guatemala,Disaster Risk Financing strategies and instruments,Ministry of Finance has a budget appropriation procedure for use of the CAT-DDO in place. Under the current ex-post risk financing strategy the budget appropriation for the National Emergency Fund is secured.,"In accordance with the PNPMD the Ministry of Finance has completed: Analysis of fiscal exposure to adverse natural events.
Assessed the contingent liability.
Design of risk financing strategy."
P113084,Colombia,DRM policies and institutions,"The inclusion, as specific and prominent elements in Colombia's 2006-2010 National Development Plan, enacted as Law 1151 of July 2007, of: (i) disaster risk reduction and (ii) disaster risk management strategy.","Expand the coverage of hazard monitoring network.
Continue to address the needs of, on average, 80% of people in disaster affected areas that request support.
Number of municipalities that have action plans for inclusion of risk reduction in territorial development plans.
Relocation of people living in the disaster impact zone of the Galeras volcano.
The Government will have a defined Framework for contingent financing."
P120860,Peru,Sector-specific risk reduction measures,"The Borrower, through MINSA, has adopted a national policy for ensuring safe hospitals in case of disasters, as evidenced by Decreto Supremo No. 009-2010-SA of April 24, 2010.","90% of MINSA hospitals evaluated with the Hospital Safety Index.
At least 20% completion of studies on structural vulnerability of MINSA hospitals that qualify for retrofitting.
All PIPs for new hospitals built after 2011 included risk analysis during the formulation phase."
P120860,Peru,Sector-specific risk reduction measures,"The Borrower, through SUNASS, has issued regulations concerning the quality of the provision of sanitation services, including measures to be adopted in emergency situations, as evidenced by Resolución del Consejo Directivo No. 011-2007-SUNASS-CD of February 2, 2007.",At least four water and sanitation service companies (EPS) adopted standard technical guidelines to incorporate risk management in their management frameworks developed by SUNASS.
P120860,Peru,Fiscal Risk,"The Borrower, through MEF, has designed and adopted a budgetary strategic program on disaster vulnerability reduction and emergency response under a results-based budgeting framework, as evidenced by Decreto de Urgencia No. 024-2010 of March 31, 2010.",National Budget includes an annual specific allocation for the Budgetary Program for Disaster Vulnerability Reduction and Emergency Response (PREVAED)
P120860,Peru,Disaster Risk Financing strategies and instruments,"The Borrower, through its Parliament, has enacted the public sector borrowing law (Ley General del Sistema de Endeudamiento), including a special chapter on the attention to disasters and emergency situations, allowing MEF to start building the Borrower's financial protection mechanism against disaster, as evidenced by Law 29290 of December 10, 2008.","MEF mobilized a pool of financial instruments to better respond to and reduce the financial impact of disasters.
MEF revised its current framework for implementation of post-disaster public investments."
P122640,El Salvador,DRM policies and institutions,"Development of the National Program for Risk Reduction 2010-2012 (Programa Nacional de Reducción de Riesgos 2010-2012), dated February, 2010, as evidenced by letter sent by the Borrower's Minister of Environment and Natural Resources, dated December 3, 2010, attaching the National Program for Risk Reduction 2010-2012.","Consistent with 2010-2014 Development Plan, key ministries have included risk analysis initiatives in their development plans, leading to a better use of technical information on natural disasters."
P122640,El Salvador,Mainstreaming DRM into national development plans,"Approval by the Borrower's National Cabinet (Consejo de Ministros) of the 2010-2014 Development Plan (Plan Quinquenal de Desarrollo), incorporating a disaster risk management component, as evidenced in the National Cabinet Session Minutes (Acta) of March 16, 2010.",Public investment programs include specific activities to enhance risk prevention and mitigation as a result of the implementation of the 2010-2014 Development Plan.
P122640,El Salvador,Emergency Preparedness and Response,"Updating of the Borrower's Civil Protection and Disaster Prevention and Mitigation National Plan, dated July 2009, to, inter alia, identify new risks and establish measures to manage said risks, and publication of the same in the Civil Protection and Disaster Prevention and Mitigation General Direction's website ( www.proceccioncivil.gob.sv). ",The GoES is better prepared to respond to adverse natural events and Sectoral Emergency Response Plans and other Plans are implemented in relevant situations.
P122640,El Salvador,Emergency Preparedness and Response,"(a) approval by the National Commission of the creation of seven Sectoral Emergency Response Commissions, as evidenced in the National Commission Session Minutes (Acta de Sesión Extraordinaria), dated October, 5, 2009. (b) submission for approval by the National Commission of seven Sectoral Emergency Response Plans, as evidenced by letter sent by the National Commission's president to the National Commission members, dated November 30, 2010.",The GoES is better prepared to respond to adverse natural events and Sectoral Emergency Response Plans and other Plans are implemented in relevant situations.
P122640,El Salvador,Emergency Preparedness and Response,"Approval by the National Commission, of the National Earthquake Contingency Plan (Plan Nacional de Contingencia para Terremotos), as evidenced in the National Commission Session Minutes (Acta de Sesión Extraordinaria), dated October, 5, 2009.",The GoES is better prepared to respond to adverse natural events and Sectoral Emergency Response Plans and other Plans are implemented in relevant situations.
P122640,El Salvador,Emergency Preparedness and Response,"Approval by the National Commission of the 2010 Rainy Season Plan (Plan Invernal 2010), as evidenced in the National Commission Session Minutes (Acta de Sesión Extraordinaria), dated May 7, 2010.",The GoES is better prepared to respond to adverse natural events and Sectoral Emergency Response Plans and other Plans are implemented in relevant situations.
P122738,Panama,DRM policies and institutions,"The Borrower, through MINGOB, has adopted the Comprehensive Disaster Risk Management National Policy (Política Nacional de Gestión Integral de Riesgo de Desastres).","Indicator 1.1 Disaster risk criteria have been incorporated into the National Public Investment System (SINIP).
Indicator 1.2 Number of provinces with updated protocols for disaster preparedness and response."
P122738,Panama,DRM policies and institutions,"The Borrower, through SINAPROC, has adopted the PNGR.","Indicator 2.1 At least three ministries (e.g. MEF, MIVIOT and ANAM) have carried out DRR priority actions identified."
